年度	調整指数の加減を適用する世帯の状況	調整指数	備考	標準地域コード
2017	生活保護受給世帯	4	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	ひとり親世帯	6	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	ひとり親に準ずる世帯	4	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	世帯の生計中心者が失業・倒産等により、生計維持のため就労を要するとき	6	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	区内在住の兄弟姉妹で異なる区内認可保育園に在園しており、第一希望で同一区内認可保育園に転園申請する場合	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	兄弟姉妹が区内認可保育園に在園している区在住児童が、区内認可保育園・家庭的保育事業・小規模保育事業に入園申請する場合	3	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	集団保育を必要とする障害児等で、特別支援保育審査会で認められた場合	4	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	申込児が障害を有するために通所施設(品川児童学園等)に通所、または病院に定期的に通院している場合	2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を品川区の保育料助成制度の対象となる認可外保育施設等(都道府県に届出がある施設のうち認証保育所を除く）に預けている場合（月額20000円以上）	2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を品川区の保育料助成制度の対象となる認可外保育施設等(都道府県に届出がある施設のうち認証保育所を除く）に預けている場合（月額20000円未満）	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を品川区の保育料助成制度の対象とならない認可外保育施設等(都道府県に届出がある施設のうち認証保育所を除く）に預けている場合（月額20000円以上）	3	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を品川区の保育料助成制度の対象とならない認可外保育施設等(都道府県に届出がある施設のうち認証保育所を除く）に預けている場合（月額20000円未満）	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を認証保育所に預けている場合	2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入所を希望する児童を家庭的保育事業・小規模保育事業に預けている場合	2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入園希望園が全て夜間保育園で、夜間保育を週３日以上必要とする場合	2	この調整指数は、平成30年4月入園選考より廃止する	http://statdb.nstac.go.jp/lod/sac/C13109
2017	入園希望園が全て夜間保育園で、夜間保育を週３日以上必要とする場合で産休取得以前の勤務実績に基づき加算する場合	1	この調整指数は、平成30年4月入園選考より廃止する	http://statdb.nstac.go.jp/lod/sac/C13109
2017	年齢上限のある区内認可保育園（日本音楽学校保育園・短時間保育室）を卒園する場合	2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	保護者が単身赴任をしている場合	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	求職中で求職活動を証明できる公的な書類の提出がある場合 （ハローワークカードなど）	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	兄弟姉妹で同時に区内認可保育園・家庭的保育事業・小規模保育事業に入園申請する場合	1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	育児休業法等に基づく育休取得(１年以上)により、育休取得前に品川区内認可保育園を退園し、育休明けに再入園申請する場合（育児休業取得対象児童も加点対象）	4	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	勤務先（仕事場）に児童を同伴している場合※ただし職場が危険業種の場合は対象外とする	-1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	同一世帯に未申請児（介護を要する児童を除く）がいる場合	-1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	申込締切日時点で給与明細等で確認できる勤務実績が３ヶ月に満たない場合（１ヶ月以内の転職等を除く）	-1	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	申込締切日時点で育休取得中であり、利用開始月までには復職するが利用開始後３ヶ月以内に出産予定で、かつ産休取得後に育休取得予定の場合（例）3月まで第1子の育休を取得後、6月に第2子の出産予定だが、4月から復帰し4月入園を希望する場合	-2	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	正当な理由なく、保育料（区立幼稚園・区立認定こども園含む）を滞納している場合(卒園児・退園児も含む)	-10	""	http://statdb.nstac.go.jp/lod/sac/C13109
