年度	保護者の状況	細目	最低指数	最高指数	備考	標準地域コード
2017	就労（外勤・自営）（勤務１ヶ月以上）	月２０日以上かつ日中８時間以上の就労が常態（週４０時間以上）	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月２０日以上かつ日中７時間以上の就労が常態（週３５時間以上）	19	19	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月２０日以上かつ日中６時間以上の就労が常態（週３０時間以上）	18	18	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月２０日以上かつ日中４時間以上の就労が常態（週２０時間以上）	14	14	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１８日以上かつ日中８時間以上の就労が常態（週３５時間以上）	19	19	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１８日以上かつ日中７時間以上の就労が常態（週３０時間以上）	18	18	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１６日以上かつ日中８時間以上の就労が常態（週３０時間以上）	18	18	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１６日以上かつ日中６時間以上の就労が常態（週２４時間以上）	16	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１６日以上かつ日中５時間以上の就労が常態（週２０時間以上）	14	14	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１６日以上かつ日中４時間以上の就労が常態（週１６時間以上）	12	12	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１４日以上かつ日中５時間以上の就労が常態（週１６時間以上）	12	12	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１２日以上かつ日中８時間以上の就労が常態（週２４時間以上）	16	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１２日以上かつ日中６時間以上の就労が常態（週１６時間以上）	12	12	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	月１２日以上かつ日中４時間以上の就労が常態（週１２時間以上）	10	10	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	就労（外勤・自営）（勤務１ヶ月以上）	上記のほか、勤務の態様から保育できないと認められる場合	8	8	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	妊娠・出産	出産前後の休養のため保育にあたることができない場合	8	8	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	約３ヶ月程度の入院、もしくは入院が決定された場合	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	常時病床	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	安静を要する状態（自分の身の回りのことができない場合）	18	18	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	疾病や負傷のため、保育に当たることができない場合	8	14	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	定期的に通院が必要で、家事困難	8	14	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	疾病・負傷	定期的に通院が必要だが、家事は可能	8	14	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	身体障害者手帳１・２級	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	精神障害者手帳１・２級	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	愛の手帳１・２・３度	20	20	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	身体障害手帳３級	16	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	精神障害者手帳３級	16	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	愛の手帳４度	16	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	身体障害者手帳４級	12	12	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	心身障害	身体障害者手帳５級以下	8	8	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	病院施設等への付添	月１６日以上、１日６時間以上の通所の付添	8	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	病院施設等への付添	月１２日以上、１日４時間以上の通所の付添	8	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	病院施設等への付添	上記以外の付添	8	16	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	在宅介護・看護	常時観察・全面的身体介護をしている場合	8	17	""	http://statdb.nstac.go.jp/lod/sac/C13109
2017	在宅介護・看護	病人や心身に障害のある方を常時看護・介護している場合	8	17	""	http://statdb.nstac.go.jp/lod/sac/C13109
