施設名称	年度	最小年齢	最大年齢	入所可能人数	空き人数	指数	階層	備考	標準地域コード
一本橋保育園	2017	0	0	""	4	43	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2017	1	1	""	9	42	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2017	2	2	""	2	41	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2017	3	3	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
一本橋保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	0	0	""	6	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	1	1	""	5	41	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	2	2	""	2	25	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	3	3	""	0	32	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
伊藤保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	1	1	""	21	42	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	2	2	""	1	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	3	3	""	2	42	D7	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	4	4	""	0	38	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	0	0	""	8	42	D8	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	1	1	""	6	43	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	3	3	""	0	41	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	0	0	""	9	43	D21	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	1	1	""	7	43	D18	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	2	2	""	2	44	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	4	4	""	0	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
荏原西第二保育園	2017	5	5	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	0	0	""	""	""	""	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	1	1	""	22	40	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	2	2	""	2	38	D11	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	3	3	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	4	4	""	0	""	""	公表不可	http://statdb.nstac.go.jp/lod/sac/C13109
大井保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	0	0	""	11	43	D20	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	1	1	""	5	42	D19	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	2	2	""	3	42	D10	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	3	3	""	0	43	D23	""	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
大井倉田保育園	2017	5	5	""	0	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	0	0	""	10	40	D9	""	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	1	1	""	8	42	D24	""	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	2	2	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	3	3	""	0	42	D22	""	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
大崎保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	0	0	""	6	40	D16	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	1	1	""	3	42	D6	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	2	2	""	2	""	""	定員割れ	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	3	3	""	2	41	C	""	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	4	4	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
北品川保育園	2017	5	5	""	0	""	""	空きなし	http://statdb.nstac.go.jp/lod/sac/C13109
北品川第二保育園	2017	0	0	""	9	40	D13	""	http://statdb.nstac.go.jp/lod/sac/C13109
